8d4  25.924 101379.056  -4.497 206.573  52.013  25.758  25.468 
7ef  24.591 101459.632 -11.203 331.893  56.049  24.697  24.312 
7cd  24.396 101436.952  -9.316 232.543  54.928  24.772  24.437 
8d4  25.918 101374.176  -4.095 208.251  52.013  25.758  25.468 ,63562208255113
7ef  24.584 101454.832 -10.801 334.350  56.049  24.697  24.312 
7cd  24.421 101437.680  -9.374 148.559  54.989  24.761  24.437 
8d4  25.912 101363.024  -3.165 207.412  51.991  25.758  25.468 ,63562208256253
7ef  24.609 101455.776 -10.880 335.784  56.072  24.697  24.312 
7cd  24.408 101424.600  -8.291 433.776  55.279  24.761  24.406 
8d4  25.918 101342.840  -1.484 208.129  51.929  25.758  25.468 
7ef  24.609 101428.408  -8.603 336.608  56.072  24.707  24.343 ,63562208257533
7cd  24.421 101412.232  -7.260 436.019  55.370  24.761  24.406 
8d4  25.930 101330.672   0.470 207.565  51.899  25.769  25.468 
7ef  24.628 101427.560  -8.534 335.998  56.072  24.707  24.343 
7cd  24.421 101402.696  -6.468 195.495  55.454  24.750  24.406 
8d4  25.924 101322.656   0.195 194.519  51.838  25.769  25.468 ,63562208259673
7ef  24.615 101411.896  -7.234 333.145  56.072  24.707  24.343 ,63562208259832
7cd  24.415 101394.568  -5.791 209.671  55.340  24.740  24.406 
8d4  25.924 101338.328  -1.109 208.389  51.815  25.769  25.468 
7ef  24.634 101417.168  -7.673 332.214  56.103  24.707  24.343 
8d4  25.918 101333.448   0.702 212.661  51.785  25.780  25.468 
7ef  24.634 101414.128  -7.419 334.945  56.133  24.718  24.343 ,63562208262113
7cd  24.421 101393.168  -5.675 159.530  56.339  24.750  24.406 
8d4  25.924 101335.184   0.845 212.753  51.754  25.780  25.468 
7ef  24.653 101425.448  -8.360 336.624  56.133  24.718  24.343 
7cd  24.433 101396.688  -5.966 161.682  56.538  24.750  24.406 ,63562208263752
8d4  25.924 101328.928   0.327 212.478  51.724  25.780  25.500 
7ef  24.646 101423.688  -8.212 337.860  56.133  24.718  24.343 ,63562208264392
7cd  24.433 101380.792  -4.645 159.194  56.683  24.740  24.406 ,63562208264892
8d4  25.936 101335.552   0.877 211.883  51.724  25.780  25.500 
7ef  24.653 101419.360  -7.852 336.944  56.103  24.729  24.375 
7cd  24.433 101399.872  -6.230 153.533  56.980  24.750  24.406 ,63562208266032
8d4  25.924 101338.328  -1.109 211.898  51.693  25.780  25.500 
7ef  24.653 101422.400  -8.106 337.493  56.103  24.729  24.375 
7cd  24.452 101401.992  -6.410 187.789  56.919  24.740  24.406 
