0.0010822,0.021473,-0.0015454,0.00052266,0.00052516,0.0004682
0.00090572,0.021125,-0.002212,0.00050816,0.00051991,0.00050401
0.00038998,0.020758,-0.0026862,0.00051842,0.00059964,0.00050277
0.00072327,0.020698,-0.001797,0.0005003,0.00052907,0.00043529
0.00027311,0.01965,-0.0020622,0.00051043,0.00049738,0.0004103
0.00060567,0.019879,-0.0012983,0.00051144,0.0004774,0.00049469
0.00037874,0.019331,-0.0024555,0.00055272,0.00050277,0.0004681
0.00099967,0.018978,-0.001901,0.00042788,0.00044893,0.00045929
0.00071967,0.018896,-0.0018631,0.00042836,0.00041569,0.00048352
0.00017712,0.019359,-0.0014235,0.00048204,0.00048075,0.00042921
0.00018784,0.018326,-0.0014076,0.00044819,0.00044715,0.00029679
0.00078287,0.018502,-0.0011607,0.00042112,0.00042201,0.00037035
0.00062839,0.017822,-0.0015881,0.00043849,0.00044297,0.00041509
0.0007068,0.017607,-0.0016443,0.00044219,0.00050047,0.00045865
0.00074001,0.016812,-0.0019073,0.00044929,0.00045368,0.00042355
0.00033772,0.016988,-0.001822,0.00045713,0.00039299,0.00041735
0.00052124,0.016181,-0.0014588,0.00045554,0.00041833,0.00038955
-8.6317e-06,0.01612,-0.0015369,0.00047947,0.00036554,0.00039551
0.00035807,0.016822,-0.0006826,0.00041244,0.00037474,0.00041464
0.00045962,0.014647,-0.0014302,0.00038104,0.00032271,0.00033092
